col_names,unit,subsystem,sensor,processing_stage
row2kWh,kWh,row2,acegy,raw
row2dcp,kW,row2,dcpwr,raw
row2Gfront,W/m2,row2,CM11,raw
Hydra_current_1,A,row2,hydra,raw
Hydra_current_10,A,row2,hydra,raw
Hydra_current_11,A,row2,hydra,raw
Hydra_current_12,A,row2,hydra,raw
Hydra_current_2,A,row2,hydra,raw
Hydra_current_3,A,row2,hydra,raw
Hydra_current_4,A,row2,hydra,raw
Hydra_current_5,A,row2,hydra,raw
Hydra_current_6,A,row2,hydra,raw
Hydra_current_7,A,row2,hydra,raw
Hydra_current_8,A,row2,hydra,raw
Hydra_current_9,A,row2,hydra,raw
row2temperature_ambient,degC,row2,RTD,raw
row2tmod_1,degC,row2,TC,raw
row2tmod_2,degC,row2,TC,raw
row2wind_direction,deg,row2,angle,raw
row2wind_speed,m/s,row2,cup,raw
row3Gfront,W/m2,row3,pyranometer,raw
row3Grear_IMT_CenterEast,W/m2,row3,IMT,raw
row3Grear_IMT_CenterWest,W/m2,row3,IMT,raw
row3Grear_IMT_East,W/m2,row3,IMT,raw
row3Grear_CM11,W/m2,row3,CM11,raw
row3Grear_Licor,W/m2,row3,Licor,raw
row3Gfront_CM11,W/m2,row3,CM11,raw
row3Gfront_Licor,W/m2,row3,Licor,raw
row4kWh,kWh,row4,acegy,raw
row4dcp,kW,row4,dcpwr,raw
row4tmod_1,degC,row4,TC,raw
row4tmod_2,degC,row4,TC,raw
row5Grear,W/m2,row5,CM11,raw
row5Gfront,W/m2,row5,CM11,raw
row5temperature_ambient,degC,row5,RTD,raw
row6tracker_angle,deg,row6,encoder,raw
row7Grear,W/m2,row7,CM11,raw
row7Gfront,W/m2,row7,CM11,raw
row7tracker_angle,deg,row7,encoder,raw
row7wind_direction,deg,row7,encoder,raw
row7wind_speed,m/s,row7,cup_anemometer,raw
row7Grear_IMT_CenterEast,W/m2,row7,refcell,raw
row7Grear_IMT_East,W/m2,row7,refcell,raw
row7RotatingAlbedometer_CM11_Down,W/m2,row7,CM11,raw
row7RotatingAlbedometer_CM11_Up,W/m2,row7,CM11,raw
row8dcp,kW,row8,dcpwr,raw
row8temperature_ambient,degC,row8,RTD,raw
row8tmod_1,degC,row8,TC,raw
row8tmod_2,degC,row8,TC,raw
row8tracker_angle,deg,row8,encoder,raw
row9kWh,kWh,row9,acegy,raw
row9dcp,kW,row9,dcpwr,raw
row9Grear,W/m2,row9,CM11,raw
row9Gfront,W/m2,row9,CM11,raw
row9tmod_1,degC,row9,TC,raw
row9tmod_2,degC,row9,TC,raw
row9tmod_3,degC,row9,TC,raw
row9tmod_4,degC,row9,TC,raw
sunkitty_GRI_CM22,W/m2,sunkitty,CMP22,raw
sunkitty_GRI_IMT,W/m2,sunkitty,IMT,raw
sunkitty_GRI_AP,W/m2,sunkitty,apogee,raw
sunkitty_GHI_CM22,W/m2,sunkitty,CMP22,raw
sunkitty_GHI_IMT,W/m2,sunkitty,refcell,raw
sunkitty_GHI_AP,W/m2,sunkitty,apogee,raw
row3Grear_IMT_West,W/m2,row3,IMT,raw
Grear,W/m2,,CM11,raw
Gfront,W/m2,,CM11,raw
sunkitty_albedo_CM22,W/m2,,CMP22,raw
sunkitty_albedo_IMT,W/m2,,IMT,raw
sunkitty_albedo_AP,W/m2,,apogee,raw
albedo,unitless,,,raw
row2Pmp,kW,row2,,raw
row4Pmp,kW,row4,,raw
row9Pmp,kW,row9,,raw
Yf2,kWh/kWp,row2,computed_yield,raw
Yf4,kWh/kWp,row4,computed_yield,raw
Yf8,kWh/kWp,row8,computed_yield,raw
Yf9,kWh/kWp,row9,computed_yield,raw
PR2,PR,row2,computed_pr,raw
PR4,PR,row4,computed_pr,raw
PR8,PR,row8,computed_pr,raw
PR9,PR,row9,computed_pr,raw
SRRL_albedo,unitless,SRRL,,raw
SRRL_windspeed,m/s,SRRL,cup@2m,raw
SRRL_DHI,W/m2,SRRL,CMP22,raw
SRRL_DNI,W/m2,SRRL,CHP1,raw
SRRL_GHI,W/m2,SRRL,CMP22,raw
SRRL_temperature_ambient,degC,SRRL,,raw
temp_ambient_FieldAverage,degC,BEST,computed,raw
solar_apparent_azimuth,deg,BEST,modeled,site
solar_zenith,deg,BEST,modeled,site
modeled_row7tracker_theta,deg,row7,modeled,sys
modeled_row7aoi,deg,row7,modeled,sys
modeled_row7tracker_azimuth,deg,row7,modeled,sys
modeled_row7tracker_tilt,deg,row7,modeled,sys
modeled_Gfront_row7pos,W/m2,BEST,modeled,sys
