site,subsystem,min_tilt,max_tilt,gcr,tube_height,outboard_offset,mod_mfr,mod_model,mod_pmax_stc,mod_bifaciality,mod_tech,array_n_series,array_n_parallel,array_pmp_spire,inv_mfr
BEST,row1,-50,50,0.35,1.5,1,,,,,,,,,
BEST,row2,-50,50,0.35,1.5,1,A,A,360,0.694,PERC,19,1,6721,
BEST,row3,-50,50,0.35,1.5,1,,,,0,PERC,,,,
BEST,row4,-50,50,0.35,1.5,1,B,B,370,0.73,PERC,20,1,,
BEST,row5,-50,50,0.35,1.5,1,,,370,0.73,PERC,20,1,7211,
BEST,row6,-50,50,0.35,1.5,1,,,,0,PERC,,1,,
BEST,row7,-50,50,0.35,1.5,1,,,,0,PERC,,1,,
BEST,row8,-50,50,0.35,1.5,1,,,360,0,PERC,20,1,7239,
BEST,row9,-50,50,0.35,1.5,1,E,E,400,0.87,SHJ,20,1,7701,
BEST,row10,-50,50,0.35,1.5,1,,,,,,,,,
